election,tour,candidat,parti,resultat
2022,Premier tour,Emmanuel Macron,LRM,27.85
2022,Premier tour,Marine Le Pen,Rassemblement national,23.15
2022,Premier tour,Jean-Luc Mélenchon,France insoumise,21.95
2022,Premier tour,Eric Zemmour,Reconquête,7.07
2022,Premier tour,Valérie Pécresse,Les Républicains,4.78
2022,Premier tour,Yannick Jadot,EE-LV,4.63
2022,Premier tour,Jean Lassalle,Résistons,3.13
2022,Premier tour,Fabien Roussel,Parti communiste,2.28
2022,Premier tour,Nicolas Dupont-Aignan,Debout la France,2.06
2022,Premier tour,Anne Hidalgo,Parti socialiste,1.75
2022,Premier tour,Philippe Poutou,NPA,0.77
2022,Premier tour,Nathalie Arthaud,Lutte ouvrière,0.56
2022,Deuxième tour,Emmanuel Macron,LRM,58.55
2022,Deuxième tour,Marine Le Pen,Rassemblement national,41.45
